Resolution	Title	Url1	Symbol	URL2
E/2020/L.13	Strengthening of the coordination of emergency humanitarian assistance of the United Nations	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.13	E/2020/L.13	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.13&Lang=E&Type=DOC
E/2020/L.14	Programme of Action for the Least Developed Countries for the Decade 2011–2020	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.14	E/2020/L.14	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.14&Lang=E&Type=DOC
E/2020/L.18	Progress in the implementation of General Assembly resolution 71/243 on the quadrennial comprehensive policy review of operational activities for development of the United Nations system	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.18	E/2020/L.18	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.18&Lang=E&Type=DOC
E/2020/L.22	Support to Non-Self-Governing Territories by the specialized agencies and international institutions associated with the United Nations	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.22	E/2020/L.22	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.22&Lang=E&Type=DOC
E/2020/L.22/Corr.1	Support to Non-Self-Governing Territories by the specialized agencies and international institutions associated with the United Nations - Corrigendum	http://www.un.org/ga/search/view_doc.asp?symbol=%20E/2020/L.22/Corr.1	%20E/2020/L.22/Corr.1	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=%20E/2020/L.22/Corr.1&Lang=E&Type=DOC
E/2020/L.24	Economic and social repercussions of the Israeli occupation on the living conditions of the Palestinian people in the Occupied Palestinian Territory, including East Jerusalem, and the Arab population in the occupied Syrian Golan	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.24	E/2020/L.24	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.24&Lang=E&Type=DOC
E/2020/L.25	Situation of and assistance to Palestinian women	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.25	E/2020/L.25	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.25&Lang=E&Type=DOC
E/2020/L.28	Progress in the implementation of General Assembly resolution 71/243 on the quadrennial comprehensive policy review of operational activities for development of the United Nations system	http://www.un.org/ga/search/view_doc.asp?symbol=E/2020/L.28	E/2020/L.28	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2020/L.28&Lang=E&Type=DOC
E/2021/L.5	Support to Non-Self-Governing Territories by the specialized agencies and international institutions associated with the United Nations	http://www.un.org/ga/search/view_doc.asp?symbol=E/2021/L.5	E/2021/L.5	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/2021/L.5&Lang=E&Type=DOC
E/RES/2020/1	Working arrangements for the 2020 session of the Economic and Social Council	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/1	E/RES/2020/1	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/1&Lang=E&Type=DOC
E/RES/2020/10	Report of the Committee for Development Policy on its twenty-second session	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/10	E/RES/2020/10	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/10&Lang=E&Type=DOC
E/RES/2020/11	Ad Hoc Advisory Group on Haiti	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/11	E/RES/2020/11	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/11&Lang=E&Type=DOC
E/RES/2020/12	Assessment of the progress made in the implementation of and follow-up to the outcomes of the World Summit on the Information Society	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/12	E/RES/2020/12	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/12&Lang=E&Type=DOC
E/RES/2020/13	Science, technology and innovation for development	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/13	E/RES/2020/13	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/13&Lang=E&Type=DOC
E/RES/2020/14	Outcome of the fifteenth session of the United Nations Forum on Forests	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/14	E/RES/2020/14	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/14&Lang=E&Type=DOC
E/RES/2020/15	Multi-year programme of work of the Commission on the Status of Women	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/15	E/RES/2020/15	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/15&Lang=E&Type=DOC
E/RES/2020/16	Programme of Action for the Least Developed Countries for the Decade 2011–2020	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/16	E/RES/2020/16	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/16&Lang=E&Type=DOC
E/RES/2020/17	Revised terms of reference of the Committee on Environmental Policy of the Economic Commission for Europe	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/17	E/RES/2020/17	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/17&Lang=E&Type=DOC
E/RES/2020/18	Revised terms of reference of the Steering Committee on Trade Capacity and Standards of the Economic Commission for Europe	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/18	E/RES/2020/18	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/18&Lang=E&Type=DOC
E/RES/2020/19	Change of name and revised terms of reference of the Working Group on Ageing of the Economic Commission for Europe	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/19	E/RES/2020/19	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/19&Lang=E&Type=DOC
E/RES/2020/19	Change of name and revised terms of reference of the Working Group on Ageing of the Economic Commission for Europe	http://www.un.org/ga/search/view_doc.asp?symbol=E/RES/2020/19	E/RES/2020/19	https://daccess-ods.un.org/access.nsf/GetFile?OpenAgent&DS=E/RES/2020/19&Lang=E&Type=DOC
