resolution	date	title	session	agendaItem	content	keywords
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling General Assembly resolutions 61/16 of 20 November 2006, 68/1 of 20 September 2013 and 72/305 of 23 July 2018 concerning the strengthening of the Economic and Social Council,	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Reiterating that, as a principal organ of the United Nations, the Council is entitled to hold ad hoc meetings as and when needed, with full substantive support and conference services, to address urgent developments in the economic, social, environmental and related fields, 	['address']
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Acknowledging that, in scheduling its sessions, meetings and consultations, the Council should take into consideration meetings of other bodies dealing with economic, social and environmental issues to avoid unnecessary overlapping and overburdening of their agendas,	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling the adoption of the Addis Ababa Action Agenda of the Third International Conference on Financing for Development[footnoteRef:1] and the 2030 Agenda for Sustainable Development,[footnoteRef:2] [1: General Assembly resolution 69/313, annex.] [2: General Assembly resolution 70/1.] 	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling also that it was decided at the 2019 forum on financing for development follow-up that the fifth forum would be held from Monday, 20 April, to Thursday, 23 April 2020,	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling further its resolution 2019/10 of 7 June 2019 on the proposed dates of the meetings and segments of the Council in 2020, 	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	1. Decides on the following working arrangements for the 2020 session of the Economic and Social Council, mindful that it may need to convene additional meetings as needed:	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(a) The youth forum will be held on Wednesday, 1 April, and Thursday, 2 April 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(b) The partnership forum will be held on Friday, 3 April 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(c) Dedicated management meetings will be held on Wednesday, 15 April 2020, to conduct elections to fill vacancies in subsidiary bodies of the Council and related bodies;	[]
